iter	Passed	Remaining
0	1	137
1	2	122
2	3	111
3	4	100
4	5	98
5	6	94
6	6	90
7	7	88
8	8	85
9	9	83
10	10	81
11	10	80
12	12	82
13	13	85
14	15	85
15	16	85
16	17	86
17	18	86
18	20	86
19	21	86
20	22	85
21	24	85
22	25	84
23	26	84
24	28	84
25	29	83
26	30	83
27	32	82
28	33	81
29	34	80
30	36	80
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	72
37	44	72
38	45	71
39	47	70
40	48	69
41	49	67
42	50	67
43	52	66
44	53	65
45	55	65
46	57	65
47	59	64
48	61	63
49	62	62
50	64	62
51	66	61
52	67	59
53	68	58
54	70	57
55	71	56
56	72	54
57	74	53
58	75	52
59	76	51
60	78	49
61	79	48
62	80	47
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	101	25
80	102	24
81	103	22
82	105	21
83	106	20
84	108	19
85	109	17
86	110	16
87	112	15
88	113	14
89	115	12
90	116	11
91	117	10
92	118	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	126	1
99	127	0
