iter	Passed	Remaining
0	163	163262
1	164	82261
2	166	55342
3	168	41844
4	170	33862
5	172	28496
6	173	24635
7	175	21718
8	176	19454
9	178	17623
10	179	16170
11	181	14966
12	183	13967
13	186	13157
14	188	12378
15	190	11688
16	193	11171
17	195	10652
18	197	10186
19	198	9750
20	201	9374
21	203	9036
22	204	8707
23	206	8415
24	209	8159
25	212	7950
26	213	7710
27	215	7491
28	217	7276
29	218	7076
30	220	6903
31	222	6739
32	225	6598
33	227	6474
34	230	6349
35	232	6225
36	235	6122
37	237	6002
38	240	5924
39	243	5842
40	245	5748
41	247	5655
42	250	5573
43	252	5494
44	255	5418
45	257	5339
46	259	5268
47	261	5188
48	264	5129
49	266	5062
50	269	5008
51	271	4955
52	274	4901
53	276	4846
54	279	4805
55	281	4751
56	284	4703
57	286	4646
58	288	4608
59	290	4558
60	293	4516
61	296	4486
62	298	4444
63	301	4403
64	303	4368
65	306	4338
66	309	4306
67	311	4274
68	314	4239
69	316	4204
70	318	4164
71	320	4126
72	322	4089
73	324	4054
74	326	4021
75	327	3987
76	329	3952
77	331	3919
78	333	3890
79	335	3861
80	339	3847
81	341	3827
82	343	3795
83	345	3771
84	348	3750
85	350	3728
86	353	3709
87	355	3684
88	357	3663
89	360	3640
90	362	3617
91	364	3595
92	367	3582
93	369	3561
94	372	3549
95	374	3529
96	377	3513
97	379	3494
98	382	3478
99	384	3463
100	387	3445
101	389	3426
102	391	3406
103	392	3383
104	394	3361
105	396	3343
106	399	3337
107	402	3322
108	404	3304
109	406	3287
110	408	3268
111	409	3248
112	411	3232
113	414	3218
114	416	3205
115	418	3187
116	419	3167
117	421	3150
118	423	3136
119	425	3120
120	427	3107
121	429	3092
122	431	3077
123	433	3061
124	434	3044
125	436	3028
126	438	3016
127	441	3006
128	444	3002
129	446	2987
130	448	2972
131	449	2958
132	451	2943
133	453	2931
134	457	2932
135	460	2922
136	462	2911
137	464	2898
138	466	2888
139	468	2880
140	471	2872
141	474	2865
142	476	2856
143	479	2848
144	481	2839
145	483	2830
146	486	2824
147	488	2813
148	490	2802
149	492	2792
150	494	2781
151	496	2769
152	500	2772
153	509	2799
154	513	2797
155	517	2799
156	521	2801
157	524	2792
158	526	2786
159	530	2783
160	532	2774
161	534	2763
162	536	2752
163	538	2744
164	540	2736
165	544	2735
166	546	2726
167	548	2715
168	552	2716
169	554	2709
170	558	2708
171	561	2703
172	563	2693
173	566	2687
174	568	2680
175	570	2672
176	573	2666
177	577	2666
178	579	2659
179	584	2664
180	587	2658
181	590	2654
182	592	2647
183	595	2639
184	596	2629
185	598	2619
186	600	2611
187	603	2605
188	605	2596
189	607	2589
190	610	2584
191	612	2578
192	614	2570
193	617	2565
194	619	2558
195	622	2551
196	624	2545
197	627	2540
198	630	2536
199	633	2534
200	636	2529
201	638	2523
202	641	2517
203	643	2510
204	645	2505
205	649	2502
206	651	2495
207	653	2489
208	656	2483
209	658	2477
210	660	2470
211	663	2465
212	666	2461
213	668	2455
214	670	2448
215	672	2441
216	675	2435
217	676	2427
218	679	2422
219	682	2421
220	684	2414
221	687	2407
222	688	2400
223	690	2393
224	693	2388
225	695	2381
226	697	2376
227	700	2371
228	702	2365
229	704	2358
230	705	2350
231	709	2348
232	711	2342
233	713	2334
234	714	2327
235	716	2318
236	717	2311
237	719	2302
238	721	2296
239	723	2292
240	726	2287
241	727	2279
242	729	2271
243	730	2263
244	732	2256
245	733	2249
246	735	2243
247	738	2239
248	740	2234
249	742	2228
250	745	2223
251	746	2215
252	748	2208
253	750	2204
254	753	2201
255	756	2197
256	758	2192
257	761	2188
258	764	2186
259	766	2182
260	770	2180
261	772	2175
262	774	2171
263	777	2168
264	779	2160
265	780	2154
266	783	2151
267	787	2149
268	789	2144
269	793	2144
270	795	2138
271	797	2134
272	800	2131
